At gamma =  [4.949385695546584129e+08,4.949385695548946857e+08]
New biggest  [1.067327464254657354e-01,1.067731361116661531e-01]
At gamma =  [4.963689186216295362e+08,4.963689186219087839e+08]
New biggest  [1.043305445407482490e-01,1.043425791533541952e-01]
At gamma =  [4.994379801252589822e+08,4.994379801253419518e+08]
New biggest  [1.120213993478204467e-01,1.120419882921402932e-01]
At gamma =  [5.015845229506663084e+08,5.015845229508084655e+08]
New biggest  [1.079905449388923050e-01,1.080425166348443350e-01]
At gamma =  [5.039902793312367201e+08,5.039902793315960169e+08]
New biggest  [1.054810162590749806e-01,1.055258616119807424e-01]
At gamma =  [5.065120931084678769e+08,5.065120931087778211e+08]
New biggest  [1.099035192376000697e-01,1.099221216464671969e-01]
At gamma =  [5.075337423160821795e+08,5.075337423162106276e+08]
New biggest  [1.089831090493499355e-01,1.090119462443835813e-01]
At gamma =  [5.096740526538861394e+08,5.096740526540853381e+08]
New biggest  [1.036148527119484658e-01,1.036554146081722777e-01]
At gamma =  [5.127909211740060449e+08,5.127909211742862463e+08]
New biggest  [1.057228709867768929e-01,1.057316306657221233e-01]
At gamma =  [5.148917473416873217e+08,5.148917473417476416e+08]
New biggest  [1.062515687109981677e-01,1.062960891895756710e-01]
At gamma =  [5.155735779925935268e+08,5.155735779929011464e+08]
New biggest  [1.098456662848719817e-01,1.098886867901152919e-01]
At gamma =  [5.190406187813239098e+08,5.190406187816212177e+08]
New biggest  [1.065756256269578539e-01,1.065885495431433544e-01]
At gamma =  [5.210050130492129922e+08,5.210050130493019819e+08]
New biggest  [1.095859941710055213e-01,1.096260593315026288e-01]
At gamma =  [5.213588996589561701e+08,5.213588996592331529e+08]
New biggest  [1.096899219410010229e-01,1.096933178972741008e-01]
At gamma =  [5.250954347454845905e+08,5.250954347455078959e+08]
New biggest  [1.046670557352665509e-01,1.046841295422858698e-01]
At gamma =  [5.256923795201211572e+08,5.256923795202389956e+08]
New biggest  [1.067145242565117613e-01,1.067216337796752373e-01]
At gamma =  [5.295433811106875539e+08,5.295433811107364297e+08]
New biggest  [1.050934381405796147e-01,1.051439980510044392e-01]
At gamma =  [5.299588175210474133e+08,5.299588175213969350e+08]
New biggest  [1.062554807914510568e-01,1.062962265133012146e-01]
At gamma =  [5.327850249316108227e+08,5.327850249318924546e+08]
New biggest  [1.055003584211944567e-01,1.055349055420837373e-01]
