There are 32 threads
Mertens at 890000000000: -26549
Mertens at 891000000000: -57562
Mertens at 892000000000: -73121
Mertens at 893000000000: -54521
Mertens at 894000000000: -88279
Mertens at 895000000000: -89772
Mertens at 896000000000: -47463
Mertens at 897000000000: -7603
Mertens at 898000000000: -2622
Mertens at 899000000000: 24056
Mertens at 900000000000: 10991
Mertens at 901000000000: 12649
Mertens at 902000000000: 24616
Mertens at 903000000000: 41803
Mertens at 904000000000: 18282
Mertens at 905000000000: 61031
Mertens at 906000000000: 97360
Mertens at 907000000000: 88362
Mertens at 908000000000: 71328
Mertens at 909000000000: 61596
Mertens at 910000000000: 78165
Mertens at 911000000000: 79364
Mertens at 912000000000: 98811
Mertens at 913000000000: 112918
Mertens at 914000000000: 106859
Mertens at 915000000000: 101384
Mertens at 916000000000: 58640
Mertens at 917000000000: 70006
Mertens at 918000000000: 68406
Mertens at 919000000000: 37720
Mertens at 920000000000: 21693
Mertens at 921000000000: 63788
Mertens at 922000000000: 26859
Mertens at 923000000000: 68035
Mertens at 924000000000: 55176
Mertens at 925000000000: 73357
Mertens at 926000000000: 73114
Mertens at 927000000000: 48176
Mertens at 928000000000: 71987
Mertens at 929000000000: 68541
Mertens at 930000000000: 47654
Mertens at 931000000000: 17872
