                                            GP/PARI CALCULATOR Version 2.7.5 (released)
                                    amd64 running linux (x86-64/GMP-6.0.0 kernel) 64-bit version
                            compiled: Nov 10 2015, gcc version 5.2.1 20151028 (Ubuntu 5.2.1-23ubuntu1) 
                                                     threading engine: pthread
                                           (readline v6.3 enabled, extended help enabled)

                                               Copyright (C) 2000-2015 The PARI Group

PARI/GP is free software, covered by the GNU General Public License, and comes WITHOUT ANY WARRANTY WHATSOEVER.

Type ? for help, \q to quit.
Type ?12 for how to get moral (and possibly technical) support.

parisize = 8000000, primelimit = 500000
   realprecision = 115 significant digits (100 digits displayed)
1000330.593543572494116234218757770143119987637477610265286742800810082565546593671098545272483727837 + 0.04472306194566131518324742448059634013558608090769725921666726782631731270830297055527183105081172522*I
1000336.938685845579965187040778059771200361339512896686848981578458169050799374459797031280606139190 + 0.04809290941739894542565612269874935095155462040506288962828467799902276344115758165694812645104444743*I
1000336.938685845579965187040778059771200361339512896686848981578458169050799374459797031280606139190 + 0.04809290941739894542565612269874935095155462040506288962828467799902276344115758165694812645104444743*I
1000341.551489180763188456597108726217111221439371457445822437291898017767191744664372072588600629469 + 0.06371010924531345259782150763257610286324593386331090635693057359857917703087114371787486135381144614*I
1000341.551489180763188456597108726217111221439371457445822437291898017767191744664372072588600629469 + 0.06371010924531345259782150763257610286324593386331090635693057359857917703087114371787486135381144614*I
1000345.038429017038541939818697630794134005205469120697487464515155952463137486845251724431890907060 + 0.03975550743293378667554994011430211312124100885039672368174372032623326486592434705870927112424804313*I
1000346.138484429309225695370140838624159281307563423445101056779376934984402610170566608260848486080 + 0.06037088377180359648074868232416616390789811131963128767512234118486302142355711942031452957001021674*I
1000346.907723042712024734137680650193290717624954784080181380567089213193666507482324240718761680911 + 0.04011724802433736680374797259416944767046782439633419493785098925548056200993479412355320176581677913*I
1000349.650448835030032223106925836739581551917517982386907404159428161299602719446122721296327352501 + 0.06058000601851080473863628828799006698210634068394773853118153465857541948937762635624443673052085579*I
1000351.506394745080612831631831967823278332083750249439231033262332829979584250708527317111040464112 + 0.04102279455767984521118378833791808485367439251345328465395869201272538299921723038854839118750052148*I
1000354.275887918433733677856364889676333446707985811554626358444635525353915426661129067600610386324 + 0.06427511828743079347844613580415200201323146935369719545363923808406135212912512095761759858030366756*I
1000358.901966585753555598053844610403238799035889779528636022646074254289619042473309073688676865113 + 0.04879251112833337596540446525116987176746068708791326616953821445534109903489060326843487237078135081*I
1000361.638522010380061101288458196018682210811876115569958504556081831517265635787023531018429280021 + 0.04603457537656009559552067878282465572699206542570978671609061478379752323894480066333589753139468286*I
1000363.504339805382580204321021918905631992139406816038172627169642038324739327868922449280044745417 + 0.04537372770473443286972016094762978690179042289729235676902412023668339050494739276532644995862521824*I
1000367.001294856076113683916884540229387542888588545817570266278212376828799424136370552392896927317 + 0.07242249322626193296164770013178242809375918140393971717711661551724714247568444378795146846183280814*I
1000368.892945368900398141379822296908003213049556492967157255971517545342088049749070121194084392049 + 0.04720585477447097497698480145143693334149594563009086401261861482458440009597986991037724229704966991*I
1000371.626386558266682032662151286841673812700213486749330183607235429904185371790628821975545605033 + 0.04332412304531572062833997253683736717364813675495179908080363944993211428590625260500879884950924190*I
1000374.324466208777750061010946635825415460426267730766891734821039083685154151121676692247768241728 + 0.04122653112684769595535606427777080265503224819527685092950545707461581281334117044591380815937280114*I
1000378.008043557311243457533313483568308370244263539996681918678854341639974872703064995782866910133 + 0.05189402336198454019981707772904454367009182354310570947675000269298608717287263916269215170456868893*I
1000378.988713264817422146358362077091340650877507880386111031828599631200007830133260764338699218593 + 0.04071360082106140002999831518439419262419185462983858768799943926750038045236081740180960200972327403*I
1000379.701565267928197917113931293224111279834843956458054601223267497136627730667265366915382770603 + 0.04661327818906036511252763466145278061645718340357640171785379903471353375243498311822090741310886657*I
1000384.361556147017110095592783851696742691526414693521259520688519483527423118635697821173375386480 + 0.06772521036599590735896948014654328112656226254081579908243138657922712047749324390954049167784765165*I
1000388.971695941183353413894619795443141449720932391397919856673540468306656783589584739143175597149 + 0.06843721271408475863265209691042781299732185872575122816803633356027577269772166115102574374974587115*I
1000390.027862776691132628769380614803973527007425321186094477517296157814083969174605613542187530256 + 0.04522661491933794722630924795470849671934464071456016816368736929812475103099534888862062966723248374*I
1000391.698768266546819537533546481785605896122164754530462328350034538838837339137262801144340649869 + 0.04445725330510727771380500377114812498042852533556946347322358710223826452142121940885513466796122297*I
1000395.369093812558758433850862129762510344422149476510638877929837828512617590962210039624239943507 + 0.04034459919189022991265251862501024990992073033545817478724089883919581247163335353140999101274080455*I
1000397.076151272238816012864973061163174907640181991054992854042421563724913081401660518714531163474 + 0.05930799690305429256384622859475847263126613674900284440986736667826800177086472581098901850525669538*I
1000401.692219551219123209370044511810073241744237095249804198541489862231742326743464519867664479047 + 0.04904362581531604252415789080294698591672249983893922066274986270326825446333499078038982018048150988*I
1000408.061573806045836734755369416333531326105505115757730793494309008008109284478791980139634003253 + 0.04817016943989079036764859986122576916331118979282978757571656519430184019382663343396461483099540506*I
1000409.061564087761580027774519014591731825812278411329956993725812011934395718811588530911121595138 + 0.05177893770904573686726599510679488409273391655301591941993052200897988580782431411018289922753530111*I
1000410.880490268618791478188135857711094140570323693643923254107906418698717533207733553897778358757 + 0.05119414210943828315250967209129803929941640187996982998006909063223233850707541701378051568275480945*I
1000413.674345377691684919640656163638901099861357831378935965349617235820849826043103380672905673065 + 0.04732453082035386762097491667235417407483981652951479347695933905558979870008580582266854862996766655*I
1000414.417740992918479155274197098607969209958807791522051917769087920029859044743353845960890399632 + 0.06294777865568986971227712319711514663890627834457964350961869413549131693045131817909340224990290536*I
1000417.178896708320329957925098516938899239188780766612373734819864284082054907331159145522662146865 + 0.04894736887117643919386312374193319194638859614432309327408235033694627102066565431169252969353457398*I
1000419.044138976733037813480545655893438733038782443278259016617489050212625634919662418363792527451 + 0.06095595879986587170059046559318842600245822097892790956157517554158958443071485967755857497793518649*I
